cluster,region,district,distype,subdist,ea,locality,eacode,v9,dist_new,latitude,longitude
204,2,12,1,0,53,6,212100053,Asikuma / Odoben  / Brakwa,212,5.5883799,-.99489999
119,1,17,1,0,138,16,117100138,Bia,117,6.7715998,-3.1881299
970,8,13,1,0,179,23,813100179,Savelugu Nanton,813,9.6908503,-.66232097
197,2,11,2,0,76,3,211200076,Agona West,211,5.5310702,-.68965
1140,10,4,1,0,58,15,1004100058,Sissala East,1004,10.7561,-1.89267
698,6,14,3,5,109,14,614305109,KMA  -  Oforikrom,614,6.6819301,-1.59007
190,2,9,2,0,275,10,209200275,Awutu Senya,209,5.5857701,-.43548301
1041,9,4,2,0,174,1,904200174,Bolgatanga,904,10.777,-.891882
387,4,2,2,0,50,8,402200050,Keta Municipal,402,5.7904701,.914451
982,8,16,1,0,66,1,816100066,Saboba,816,9.7005901,.090902001
620,5,21,1,0,155,10,521100155,Kwahu North,521,6.9319901,-.026822001
848,7,15,2,0,185,15,715200185,Techiman,715,7.59445,-1.86075
632,6,2,1,0,201,42,602100201,Amansie West,602,6.5616002,-1.8597
797,7,4,2,0,235,35,704200235,Dormaa Municipal,704,7.4309301,-2.9414799
570,5,12,1,0,70,14,512100070,Fanteakwa,512,6.3821802,-.37527299
817,7,9,1,0,74,1,709100074,Sunyani West,709,7.4465699,-2.1741099
154,2,5,1,0,87,9,205100087,Ajumanku / Enyan / Essiam,205,5.4119,-.976533
1137,10,4,1,0,21,4,1004100021,Sissala East,1004,10.5738,-1.97409
628,6,1,1,0,166,1,601100166,Atwima Mponua,601,6.63797,-2.0864601
1092,9,9,2,0,149,18,909200149,Bawku Municipal,909,10.9688,-.28018299
489,4,17,1,0,45,7,417100045,Nkwanta South,417,8.0973597,.39251
1128,10,3,1,0,6,1,1003100006,Wa East,1003,9.8587599,-2.4235401
1073,9,8,1,0,23,1,908100023,Garu Tempane,908,10.7432,-.27690899
1127,10,2,2,0,129,1,1002200129,Wa Municipal,1002,10.1169,-2.4312601
391,4,2,2,0,174,19,402200174,Keta Municipal,402,5.9393902,.99788499
944,8,11,3,2,44,5,811302044,Tamale Central,811,9.4360104,-.87146997
161,2,6,1,0,86,8,206100086,Gomoa West,206,5.3069801,-.74071699
791,7,4,2,0,56,6,704200056,Dormaa Municipal,704,7.01436,-3.0485201
425,4,7,1,0,77,1,407100077,Adaklu Anyigbe,407,6.4920101,.72425997
937,8,10,2,0,238,23,810200238,Yendi,810,9.4482698,.016174
92,1,13,1,0,30,1,113100030,Sefwi Akontobra,113,5.9886098,-2.8931601
285,3,4,3,1,262,5,304301262,AMA  -  Ablekuma South,304,5.5303998,-.27160001
763,6,24,1,0,56,7,624100056,Sekyere Afram Plains,624,6.89362,-1.25537
243,3,1,2,0,241,12,301200241,Weija (Ga South),301,5.5494299,-.39798999
1194,10,9,1,0,109,1,1009100109,Lawra,1009,10.188,-2.47474
1083,9,8,1,0,210,20,908100210,Garu Tempane,908,10.9774,-.093415998
532,5,5,2,0,121,13,505200121,Akwapim South,505,5.8238802,-.36081699
64,1,9,1,0,74,9,109100074,Prestea / Huni Valley,109,5.4046302,-2.1694
853,7,16,1,0,33,1,716100033,Nkoranza South,716,7.5518198,-1.4643101
786,7,3,1,0,39,1,703100039,Asutifi,703,6.83041,-2.4865201
342,3,5,2,0,228,11,305200228,Adenta,305,5.7301102,-.15617
43,1,5,3,4,75,12,105304075,Sekondi-Takoradi  - Essikadu  -Ketan,105,4.9497099,-1.7606601
345,3,6,2,0,61,4,306200061,Ledzokuku / Krowor,306,5.6009998,-.079000004
867,7,18,1,0,123,1,718100123,Atebubu Amantin,718,7.7764502,-.97614998
211,2,13,1,0,52,8,213100052,Assin South,213,5.4559999,-1.15767
1122,10,2,2,0,77,10,1002200077,Wa Municipal,1002,10.0702,-2.49931
1047,9,5,1,0,53,9,905100053,Talensi Nabdam,905,10.6388,-.87160498
503,5,2,2,0,30,4,502200030,Birim  Central Municipal,502,5.77706,-.76887703
399,4,3,1,0,146,1,403100146,Ketu South,403,6.1538,1.16133
27,1,5,3,1,132,1,105301132,Sekondi-Takoradi  -  Kwesimintsim,105,4.93927,-1.7906801
229,2,15,1,0,205,1,215100205,Twifo / Heman / Lower Denkyira,215,5.6577702,-1.61966
788,7,3,1,0,119,1,703100119,Asutifi,703,7.0443802,-2.3982201
1116,10,2,2,0,20,4,1002200020,Wa Municipal,1002,10.0489,-2.5118699
868,7,19,1,0,14,1,719100014,Sene,719,7.2824898,.18076999
13,1,2,1,0,144,1,102100144,Ellembelle,102,5.3473601,-2.4295199
36,1,5,3,2,102,2,105302102,Sekondi-Takoradi  -  Takoradi,105,4.9065599,-1.74368
730,6,14,3,10,211,14,614310211,KMA   -  Bantama,614,6.69873,-1.72947
133,2,2,3,2,54,8,202302054,Cape Coast   North,202,5.1543798,-1.27806
426,4,8,2,0,4,1,408200004,Ho,408,6.37924,.25322399
178,2,8,1,0,253,37,208100253,Gomoa East,208,5.5073299,-.744717
1171,10,7,1,0,1,1,1007100001,Sissala West,1007,10.5644,-2.21769
849,7,15,2,0,219,19,715200219,Techiman,715,7.5855598,-1.93239
1023,9,3,1,0,25,1,903100025,Kasena Nankana East,903,10.7772,-1.09304
271,3,3,2,0,189,7,303200189,Ga East,303,5.6698098,-.162122
836,7,13,1,0,83,11,713100083,Tain,713,7.8960299,-2.53933
784,7,2,2,0,210,14,702200210,Asunafo North,702,6.9035602,-2.5552499
580,5,13,2,0,227,27,513200227,East Akim,513,6.26231,-.50255001
728,6,14,3,10,132,7,614310132,KMA   -  Bantama,614,6.7283702,-1.65339
596,5,16,1,0,22,1,516100022,Birim North,516,6.3116398,-1.11351
1145,10,5,1,0,21,4,1005100021,Nadowli,1005,10.1738,-2.54989
122,2,1,2,0,37,1,201200037,Komenda / Edina / Eguafo / Abirem,201,5.0834999,-1.3707
1141,10,4,1,0,70,17,1004100070,Sissala East,1004,10.8187,-2.00895
1173,10,7,1,0,25,5,1007100025,Sissala West,1007,10.0091,-2.5557899
742,6,18,2,0,41,7,618200041,Offinso Municipal,618,6.9348202,-1.68338
85,1,12,1,0,42,1,112100042,Aowin Suaman,112,5.65132,-2.5645599
1195,10,9,1,0,121,1,1009100121,Lawra,1009,10.8148,-2.7592599
563,5,11,1,0,16,1,511100016,Upper Manya Krobo,511,6.2526898,-.15148599
1113,10,1,1,0,108,1,1001100108,Wa West,1001,10.0489,-2.5118699
710,6,14,3,7,14,2,614307014,KMA   -  Manhyia,614,6.7007198,-1.61861
643,6,5,2,0,147,9,605200147,Obuasi Municipal,605,6.19454,-1.6439
254,3,1,2,0,632,1,301200632,Weija (Ga South),301,5.6122499,-.41471699
641,6,5,2,0,66,9,605200066,Obuasi Municipal,605,6.19803,-1.63895
478,4,15,1,0,144,11,415100144,Krachi East,415,7.9836001,.28846601
670,6,12,1,0,88,22,612100088,Bosumtwi,612,6.5701199,-1.52314
1152,10,5,1,0,106,17,1005100106,Nadowli,1005,10.2573,-2.5574501
933,8,10,2,0,120,1,810200120,Yendi,810,9.3913603,-.52245599
17,1,4,1,0,11,3,104100011,Ahanta West,104,4.79633,-1.94425
656,6,9,1,0,29,5,609100029,Asante Akim South,609,6.3934698,-1.28486
857,7,16,1,0,120,17,716100120,Nkoranza South,716,7.5652399,-1.70412
1177,10,7,1,0,73,15,1007100073,Sissala West,1007,10.973,-2.59726
600,5,17,1,0,35,6,517100035,Atiwa,517,6.3102999,-.724819
260,3,2,2,0,159,10,302200159,Ga West,302,5.6203299,-.26284
776,7,1,1,0,109,1,701100109,Asunafo South,701,6.60111,-2.6205001
547,5,7,2,0,201,4,507200201,New Juaben Municipal,507,6.1201501,-.25448599
1193,10,9,1,0,97,1,1009100097,Lawra,1009,10.7711,-2.7729001
1157,10,5,1,0,166,27,1005100166,Nadowli,1005,10.4805,-2.4984901
830,7,12,1,0,78,18,712100078,Jaman North,712,7.9493799,-2.69348
246,3,1,2,0,352,13,301200352,Weija (Ga South),301,5.54917,-.38330001
1159,10,6,1,0,15,1,1006100015,Jirapa,1006,10.478,-2.64959
894,8,2,1,0,110,4,802100110,Sawla / Tuna / Kalba,802,9.5508003,-2.65871
315,3,4,3,7,52,2,304307052,AMA  - Ayawaso Central,304,5.58358,-.21047001
695,6,14,3,4,147,7,614304147,Asokwa(Atonso),614,6.6610198,-1.59767
785,7,3,1,0,33,4,703100033,Asutifi,703,6.8635101,-2.44752
297,3,4,3,3,71,1,304303071,AMA  -Ashiedu Keteke,304,5.5418,-.215433
593,5,15,1,0,87,13,515100087,Akyemansa,515,6.0743899,-1.1548899
969,8,13,1,0,136,1,813100136,Savelugu Nanton,813,9.6392498,-.74839503
1164,10,6,1,0,76,9,1006100076,Jirapa,1006,10.5326,-2.6997199
76,1,10,1,0,172,1,110100172,Wassa Amenfi East,110,6.0137701,-2.1733
303,3,4,3,5,18,2,304305018,AMA   - La,304,5.5553198,-.16608299
1048,9,5,1,0,78,1,905100078,Talensi Nabdam,905,10.7373,-.72114599
697,6,14,3,5,69,13,614305069,KMA  -  Oforikrom,614,6.6637101,-1.59025
212,2,13,1,0,83,16,213100083,Assin South,213,5.5440998,-1.1736
789,7,3,1,0,154,1,703100154,Asutifi,703,7.09623,-2.7142899
843,7,15,2,0,50,1,715200050,Techiman,715,7.5425801,-1.85472
783,7,2,2,0,163,10,702200163,Asunafo North,702,6.9435401,-2.7632999
939,8,10,2,0,309,1,810200309,Yendi,810,9.7693396,-.049876001
456,4,11,2,0,154,31,411200154,Hohoe,411,7.7257099,.55020702
486,4,16,1,0,160,16,416100160,Krachi West,416,8.1491804,-.148157
448,4,10,1,0,127,19,410100127,Norh Dayi (Kpando),410,7.0124302,.317027
1039,9,4,2,0,147,7,904200147,Bolgatanga,904,10.8124,-.84802502
4,1,1,1,0,87,16,101100087,Jomoro,101,4.98664,-2.58606
1165,10,6,1,0,81,1,1006100081,Jirapa,1006,10.5106,-2.7475801
544,5,7,2,0,106,1,507200106,New Juaben Municipal,507,6.0887899,-.27855
272,3,3,2,0,225,7,303200225,Ga East,303,5.67871,-.179509
676,6,14,3,1,62,8,614301062,KMA    - Kwadaso,614,6.6763201,-1.64698
1166,10,6,1,0,93,12,1006100093,Jirapa,1006,10.5273,-2.76108
585,5,14,1,0,149,13,514100149,Kwaebibirem,514,6.1003699,-.83998299
744,6,18,2,0,119,19,618200119,Offinso Municipal,618,7.1356802,-1.74043
195,2,11,2,0,18,2,211200018,Agona West,211,5.5338001,-.81851703
883,7,21,1,0,123,23,721100123,Kintampo South,721,8.0458899,-1.67379
494,4,18,1,0,1,1,418100001,Nkwanta North,418,8.3385296,.25015
903,8,4,1,0,131,1,804100131,Gonja Central,804,9.2976198,-1.1062599
318,3,4,3,7,161,5,304307161,AMA  - Ayawaso Central,304,5.5968199,-.20254999
