eanum,reg_code,reg_name,ur,ez,locality_name,dist_name
358,6,Ashanti,1,2,FANTI NEW TOWN,Kumasi Metro
359,6,Ashanti,1,2,ZONGO,Kumasi Metro
360,6,Ashanti,1,2,ASHANTI NEWTOWN (ODUMASI),Kumasi Metro
361,6,Ashanti,1,2,MAMNHYIA M.E 7 BLK. 2,Kumasi Metro
362,6,Ashanti,1,2,DICHEMSO YENNYAWOSO,Kumasi Metro
363,6,Ashanti,1,2,NEW TAFO (ODUMASI EXT.),Kumasi Metro
364,6,Ashanti,1,2,OLD/NEW SUAME,Kumasi Metro
365,6,Ashanti,1,2,TARKWA MAAKRO,Kumasi Metro
366,6,Ashanti,1,2,BREMANG,Kumasi Metro
367,6,Ashanti,1,2,OLD TAFO (MILE POST 3),Kumasi Metro
368,6,Ashanti,1,2,OLD TAFO (MILE POST 3),Kumasi Metro
369,6,Ashanti,1,2,OLD TAFO (MOSHIE ZONGO),Kumasi Metro
370,6,Ashanti,1,2,BUOKROM,Kumasi Metro
371,6,Ashanti,1,2,PANKRONO,Kumasi Metro
372,6,Ashanti,1,2,AHWIAA,Kwabre
373,6,Ashanti,1,2,MAMPONTENG,Kwabre
374,6,Ashanti,2,2,AFRANTWO,Kwabre
375,6,Ashanti,2,2,SOKORA WONOO,Kwabre
376,6,Ashanti,2,2,APAGYA,Kwabre
377,6,Ashanti,1,2,WIAMOASE,Afigya Sekyere
378,6,Ashanti,2,2,KWADWO ADDAIKROM (KWAADDAI),Afigya Sekyere
379,6,Ashanti,1,2,KONA,Afigya Sekyere
380,6,Ashanti,2,2,AHENKRO,Afigya Sekyere
381,6,Ashanti,2,2,DENASI,Afigya Sekyere
382,6,Ashanti,2,2,ABENOA,Sekyere East
383,6,Ashanti,1,2,KUMAWU,Sekyere East
384,6,Ashanti,2,2,OYOKO,Sekyere East
385,6,Ashanti,2,2,ANYINOFI,Sekyere East
386,6,Ashanti,1,2,MAMPONG,Sekyere West
387,6,Ashanti,2,2,KYEKYEBON,Sekyere West
388,6,Ashanti,1,2,KWAMANG,Sekyere West
389,6,Ashanti,2,2,ATONSUAGYA,Sekyere West
390,6,Ashanti,1,2,EJURA,Ejura Sekyidumasi
